,x,y,state,scenario
4,40.0,17678.0,OR,intermediate
5,50.0,0.0,OR,intermediate
6,60.0,0.0,OR,intermediate
7,70.0,0.0,OR,intermediate
8,80.0,0.0,OR,intermediate
9,90.0,0.0,OR,intermediate
10,100.0,0.0,OR,intermediate
11,110.0,0.0,OR,intermediate
12,120.0,17597.0,OR,intermediate
0,0.0,29727.0,PA,intermediate
1,10.0,160.0,PA,intermediate
2,20.0,1546.0,PA,intermediate
3,30.0,5054.0,PA,intermediate
4,40.0,620.0,PA,intermediate
5,50.0,336.0,PA,intermediate
6,60.0,1113.0,PA,intermediate
7,70.0,0.0,PA,intermediate
8,80.0,46.0,PA,intermediate
9,90.0,0.0,PA,intermediate
10,100.0,0.0,PA,intermediate
11,110.0,0.0,PA,intermediate
12,120.0,19377.0,PA,intermediate
0,0.0,9914.0,RI,intermediate
1,10.0,24623.0,RI,intermediate
2,20.0,186.0,RI,intermediate
3,30.0,4897.0,RI,intermediate
4,40.0,10818.0,RI,intermediate
5,50.0,125.0,RI,intermediate
6,60.0,1710.0,RI,intermediate
7,70.0,579.0,RI,intermediate
8,80.0,2016.0,RI,intermediate
9,90.0,169.0,RI,intermediate
10,100.0,1548.0,RI,intermediate
11,110.0,94.0,RI,intermediate
12,120.0,26.0,RI,intermediate
0,0.0,9296.0,NH,intermediate
1,10.0,863.0,NH,intermediate
2,20.0,806.0,NH,intermediate
3,30.0,1772.0,NH,intermediate
4,40.0,506.0,NH,intermediate
5,50.0,300.0,NH,intermediate
6,60.0,927.0,NH,intermediate
7,70.0,30.0,NH,intermediate
8,80.0,106.0,NH,intermediate
9,90.0,0.0,NH,intermediate
10,100.0,0.0,NH,intermediate
11,110.0,0.0,NH,intermediate
12,120.0,0.0,NH,intermediate
0,0.0,1234.0,DC,intermediate
1,10.0,3754.0,DC,intermediate
2,20.0,248.0,DC,intermediate
3,30.0,0.0,DC,intermediate
4,40.0,0.0,DC,intermediate
5,50.0,0.0,DC,intermediate
6,60.0,0.0,DC,intermediate
7,70.0,0.0,DC,intermediate
8,80.0,0.0,DC,intermediate
9,90.0,0.0,DC,intermediate
10,100.0,0.0,DC,intermediate
11,110.0,0.0,DC,intermediate
12,120.0,2364.0,DC,intermediate
0,0.0,5305371.0,all,high
1,10.0,7722074.0,all,high
2,20.0,960853.0,all,high
3,30.0,905923.0,all,high
4,40.0,439484.0,all,high
5,50.0,106400.0,all,high
6,60.0,80353.0,all,high
7,70.0,6219.0,all,high
8,80.0,12418.0,all,high
9,90.0,984.0,all,high
10,100.0,882.0,all,high
11,110.0,134.0,all,high
12,120.0,14917.0,all,high
0,0.0,118613.0,WA,high
1,10.0,47947.0,WA,high
2,20.0,1884.0,WA,high
3,30.0,5934.0,WA,high
4,40.0,0.0,WA,high
5,50.0,0.0,WA,high
6,60.0,1100.0,WA,high
7,70.0,1810.0,WA,high
8,80.0,0.0,WA,high
9,90.0,0.0,WA,high
10,100.0,0.0,WA,high
11,110.0,0.0,WA,high
12,120.0,539.0,WA,high
0,0.0,209623.0,SC,high
1,10.0,117352.0,SC,high
2,20.0,33333.0,SC,high
3,30.0,32569.0,SC,high
4,40.0,17570.0,SC,high
5,50.0,20399.0,SC,high
6,60.0,20613.0,SC,high
7,70.0,14176.0,SC,high
8,80.0,7313.0,SC,high
9,90.0,734.0,SC,high
10,100.0,2529.0,SC,high
11,110.0,68.0,SC,high
12,120.0,966.0,SC,high
0,0.0,104509.0,MD,high
1,10.0,5959.0,MD,high
2,20.0,99352.0,MD,high
3,30.0,12784.0,MD,high
4,40.0,1547.0,MD,high
5,50.0,8849.0,MD,high
6,60.0,145.0,MD,high
7,70.0,4662.0,MD,high
8,80.0,4138.0,MD,high
9,90.0,3058.0,MD,high
10,100.0,0.0,MD,high
11,110.0,0.0,MD,high
12,120.0,0.0,MD,high
0,0.0,361603.0,NJ,high
1,10.0,267630.0,NJ,high
2,20.0,123813.0,NJ,high
3,30.0,74900.0,NJ,high
4,40.0,27366.0,NJ,high
5,50.0,10542.0,NJ,high
6,60.0,2615.0,NJ,high
7,70.0,2483.0,NJ,high
8,80.0,169.0,NJ,high
9,90.0,230.0,NJ,high
10,100.0,0.0,NJ,high
11,110.0,0.0,NJ,high
12,120.0,0.0,NJ,high
0,0.0,522191.0,CA,high
1,10.0,230109.0,CA,high
