,rise,geoid_county,U7B001,U7C005,U7B004,U7C002,U7G001,state_code,state_name
150,0,34039,29.0,0.0,1.0,20.0,2.0,NJ,New Jersey
151,0,36005,261.0,155.0,19.0,47.0,113.0,NY,New York
152,0,36021,6.0,5.0,0.0,0.0,1.0,NY,New York
153,0,36027,4.0,2.0,0.0,2.0,1.0,NY,New York
154,0,36039,39.0,24.0,7.0,5.0,24.0,NY,New York
155,0,36047,1114.0,46.0,927.0,101.0,492.0,NY,New York
156,0,36059,2696.0,1953.0,224.0,246.0,1097.0,NY,New York
157,0,36061,1836.0,668.0,174.0,215.0,1428.0,NY,New York
158,0,36071,23.0,0.0,5.0,13.0,2.0,NY,New York
159,0,36079,57.0,44.0,3.0,6.0,5.0,NY,New York
160,0,36081,1140.0,751.0,168.0,110.0,439.0,NY,New York
161,0,36085,1920.0,1077.0,40.0,352.0,701.0,NY,New York
162,0,36087,256.0,171.0,20.0,62.0,105.0,NY,New York
163,0,36103,3470.0,2982.0,37.0,291.0,2072.0,NY,New York
164,0,36111,9.0,0.0,2.0,7.0,1.0,NY,New York
165,0,36119,1451.0,980.0,149.0,212.0,659.0,NY,New York
166,0,37013,152.0,130.0,7.0,1.0,158.0,NC,North Carolina
167,0,37019,1383.0,1194.0,83.0,57.0,1543.0,NC,North Carolina
168,0,37029,12.0,8.0,0.0,1.0,2.0,NC,North Carolina
169,0,37031,251.0,225.0,1.0,10.0,701.0,NC,North Carolina
170,0,37041,42.0,39.0,2.0,0.0,42.0,NC,North Carolina
171,0,37049,50.0,43.0,0.0,0.0,17.0,NC,North Carolina
172,0,37053,21.0,12.0,3.0,0.0,23.0,NC,North Carolina
173,0,37055,484.0,435.0,6.0,23.0,378.0,NC,North Carolina
174,0,37095,210.0,173.0,30.0,3.0,156.0,NC,North Carolina
175,0,37103,20.0,14.0,0.0,5.0,4.0,NC,North Carolina
176,0,37129,1824.0,1653.0,36.0,55.0,1239.0,NC,North Carolina
177,0,37133,322.0,283.0,11.0,17.0,541.0,NC,North Carolina
178,0,37137,5.0,1.0,0.0,2.0,1.0,NC,North Carolina
179,0,37139,146.0,120.0,19.0,4.0,95.0,NC,North Carolina
180,0,37141,574.0,541.0,1.0,17.0,705.0,NC,North Carolina
181,0,37143,116.0,97.0,6.0,4.0,44.0,NC,North Carolina
182,0,37177,15.0,11.0,4.0,0.0,14.0,NC,North Carolina
183,0,41007,2968.0,2308.0,9.0,321.0,1323.0,OR,Oregon
184,0,41009,729.0,578.0,8.0,42.0,298.0,OR,Oregon
185,0,41011,702.0,551.0,1.0,42.0,359.0,OR,Oregon
186,0,41015,17.0,10.0,0.0,0.0,4.0,OR,Oregon
187,0,41019,218.0,198.0,0.0,12.0,110.0,OR,Oregon
188,0,41039,42.0,28.0,0.0,3.0,13.0,OR,Oregon
189,0,41041,819.0,669.0,1.0,72.0,530.0,OR,Oregon
190,0,41051,636.0,339.0,58.0,97.0,305.0,OR,Oregon
191,0,41057,466.0,361.0,1.0,73.0,334.0,OR,Oregon
192,0,42017,359.0,274.0,21.0,30.0,193.0,PA,Pennsylvania
193,0,42045,114.0,87.0,15.0,9.0,56.0,PA,Pennsylvania
194,0,42101,944.0,560.0,217.0,71.0,592.0,PA,Pennsylvania
195,0,44001,342.0,327.0,3.0,7.0,168.0,RI,Rhode Island
196,0,44003,127.0,113.0,3.0,6.0,86.0,RI,Rhode Island
197,0,44005,89.0,79.0,0.0,1.0,53.0,RI,Rhode Island
198,0,44007,30.0,26.0,1.0,2.0,19.0,RI,Rhode Island
199,0,44009,234.0,213.0,4.0,6.0,366.0,RI,Rhode Island
200,0,45013,14190.0,10681.0,2135.0,996.0,9356.0,SC,South Carolina
201,0,45015,1967.0,1749.0,40.0,59.0,1031.0,SC,South Carolina
202,0,45019,22094.0,18646.0,2065.0,604.0,12073.0,SC,South Carolina
203,0,45029,289.0,215.0,67.0,2.0,539.0,SC,South Carolina
204,0,45035,13.0,0.0,0.0,4.0,2.0,SC,South Carolina
205,0,45043,2136.0,1969.0,81.0,33.0,1884.0,SC,South Carolina
206,0,45051,4801.0,4272.0,182.0,208.0,4840.0,SC,South Carolina
207,0,45053,326.0,133.0,144.0,39.0,156.0,SC,South Carolina
208,0,48007,68.0,51.0,2.0,6.0,84.0,TX,Texas
209,0,48039,319.0,269.0,2.0,40.0,379.0,TX,Texas
210,0,48057,82.0,58.0,1.0,21.0,72.0,TX,Texas
211,0,48061,156.0,103.0,0.0,51.0,217.0,TX,Texas
212,0,48071,281.0,140.0,3.0,102.0,153.0,TX,Texas
213,0,48167,2315.0,1687.0,179.0,351.0,1423.0,TX,Texas
214,0,48201,1214.0,697.0,70.0,260.0,687.0,TX,Texas
