,rise,state_code,U7B001,U7C005,U7B004,U7C002,state_name,U7B001_total,U7B001_percentage
23,4,CT,24387.61186773723,15991.564564514996,2411.505971437162,4248.48590176541,Connecticut,3605944,0.7
24,5,CT,37256.69111933079,23544.93025857847,4167.164699652317,6898.724963910771,Connecticut,3605944,1.0
25,6,CT,50732.04469802842,31243.377598305433,6002.89991596823,10009.703439530447,Connecticut,3605944,1.4
26,7,CT,65207.7248054411,39577.122342542636,8014.553179737177,13194.219555952079,Connecticut,3605944,1.8
27,8,CT,78139.15559585174,47475.31784240623,9616.768019627261,15810.092809259215,Connecticut,3605944,2.2
28,9,CT,92054.42657115443,55805.02121949936,11313.692495937657,18775.896465299884,Connecticut,3605944,2.6
29,10,CT,104475.36612775152,62615.7092835941,13003.539345272695,21923.195585657595,Connecticut,3605944,2.9
30,1,DE,758.5202073676614,585.6860459829717,101.619259082252,44.98592447787357,Delaware,989948,0.1
31,2,DE,3087.243480235655,2494.890111833196,317.91882538150406,151.98717456154574,Delaware,989948,0.3
32,3,DE,7557.258416577886,6020.485678063447,776.3689851547276,397.19675554929836,Delaware,989948,0.8
33,4,DE,12398.415940213785,9747.4579078729,1328.3853842453843,692.4251091883144,Delaware,989948,1.3
34,5,DE,17824.11519769461,13976.584105180265,1947.4863237031307,957.0473669330244,Delaware,989948,1.8
35,6,DE,23790.87340925375,18666.81251346563,2597.83895064534,1275.1029158224,Delaware,989948,2.4
36,7,DE,29885.569184295273,23518.66013642318,3179.926138937472,1616.9676167469713,Delaware,989948,3.0
37,8,DE,37572.73502969512,28758.242809996358,4787.96267536692,2082.676975902958,Delaware,989948,3.8
38,9,DE,43764.25935519762,33474.387261993696,5571.915844519766,2463.4304810004446,Delaware,989948,4.4
39,10,DE,49933.155596212906,38160.20286076976,6256.1418032327865,2876.757872728761,Delaware,989948,5.0
40,1,DC,217.93117608184815,116.43868027404774,40.235305613956875,30.406590070935827,District of Columbia,689545,0.0
41,2,DC,304.78269046474543,172.19318389595207,50.781525608512446,38.32935648664684,District of Columbia,689545,0.0
42,3,DC,691.5554895401336,403.731225774495,146.39650876131822,68.21559258806275,District of Columbia,689545,0.1
43,4,DC,731.4159406665891,429.7990244629245,152.50976720059708,71.5280687026148,District of Columbia,689545,0.1
44,5,DC,774.6132741989874,443.71237236415493,158.4600438139934,80.5335759286991,District of Columbia,689545,0.1
45,6,DC,898.4915085356478,523.6381035652444,175.23832745772853,92.2958499546779,District of Columbia,689545,0.1
46,7,DC,1176.2686749474958,651.1033445303505,267.231845539422,116.7789357958161,District of Columbia,689545,0.2
47,8,DC,2174.5437719985043,928.8715095648004,852.473922465209,161.82087114624025,District of Columbia,689545,0.3
48,9,DC,3282.6367092101596,1460.6108573767551,1205.399886495112,268.35657284150494,District of Columbia,689545,0.5
49,10,DC,6180.558964291457,2801.313595143796,2272.7787424867065,470.3144689263541,District of Columbia,689545,0.9
50,1,FL,42696.86057631373,26364.620132692817,1570.95118164477,12823.425946884914,Florida,21538187,0.2
51,2,FL,151821.82814067876,86975.66149003975,6914.697152476521,50148.79696946578,Florida,21538187,0.7
52,3,FL,433336.7777258252,245201.35545981996,24843.35036671758,139946.58721127952,Florida,21538187,2.0
53,4,FL,885861.4011033198,497652.2576712748,64717.96432756543,275875.54093581834,Florida,21538187,4.1
54,5,FL,1678629.2179368853,850414.3199801429,178897.86217327506,560945.0756907872,Florida,21538187,7.8
55,6,FL,2969226.2962365816,1270455.1991448626,362155.99265270826,1182819.6456031334,Florida,21538187,13.8
56,7,FL,4167818.241078515,1648916.858590795,552763.8607454594,1754511.1504047299,Florida,21538187,19.4
57,8,FL,4998747.48605188,1940828.6167746559,689243.0772981378,2116172.250416788,Florida,21538187,23.2
58,9,FL,5607685.374763419,2199948.5875961226,805199.0402638323,2316984.6979366792,Florida,21538187,26.0
